NAME,ID,YYMMDD,YEAR,HOUR,Wind_Speed,DELV24,PER,SHRD,POT,PC2
GEOR,AL071998,980922,1998,18,95,-30,9999,10.0,-42,-138
GEOR,AL071998,980923,1998,0,70,-5,9999,8.7,-70,-117
GEOR,AL071998,980923,1998,6,65,0,9999,13.4,-76,-136
GEOR,AL071998,980923,1998,12,65,5,9999,11.6,-80,-59
GEOR,AL071998,980923,1998,18,65,10,9999,7.6,-76,-63
GEOR,AL071998,980924,1998,0,65,15,0,7.6,-78,-75
GEOR,AL071998,980924,1998,6,65,20,9999,11.2,-79,-148
GEOR,AL071998,980924,1998,12,70,20,9999,12.0,-76,-81
GEOR,AL071998,980924,1998,18,75,15,9999,9.1,-65,-111
GEOR,AL071998,980925,1998,0,80,10,9999,15.0,-60,-106
GEOR,AL071998,980925,1998,6,85,5,10,23.7,-55,-112
GEOR,AL071998,980925,1998,12,90,0,10,24.0,-50,-145
GEOR,AL071998,980925,1998,18,90,0,5,15.4,-48,-98
GEOR,AL071998,980926,1998,0,90,5,0,12.6,-49,-84
GEOR,AL071998,980926,1998,6,90,5,0,19.6,-53,-26
GEOR,AL071998,980926,1998,12,90,5,0,20.8,-51,-73
GEOR,AL071998,980926,1998,18,90,5,0,17.2,-38,-85
GEOR,AL071998,980927,1998,0,95,0,5,20.1,-33,-84
GEOR,AL071998,980927,1998,6,95,-5,5,17.0,-37,-88
GEOR,AL071998,980927,1998,12,95,-5,0,12.4,-29,-97
GEOR,AL071998,980927,1998,18,95,-30,0,13.2,-21,-73
GEOR,AL071998,980928,1998,0,95,-45,0,12.3,-23,-45
GEOR,AL071998,980928,1998,6,90,-50,-5,13.4,-23,-52
GEOR,AL071998,980928,1998,12,90,-60,-5,15.8,-18,-45
GEOR,AL071998,980928,1998,18,65,-35,9999,16.9,-41,-21
GEOR,AL071998,980929,1998,0,50,-20,9999,18.6,-58,68
GEOR,AL071998,980929,1998,6,40,-10,9999,18.9,-66,138
GEOR,AL071998,980929,1998,12,30,-5,9999,20.2,-67,118
GEOR,AL071998,980929,1998,18,30,-5,9999,19.6,-77,133
GEOR,AL071998,980930,1998,0,30,-5,9999,25.4,-80,161
GEOR,AL071998,980930,1998,6,30,-10,9999,26.2,-70,190
GEOR,AL071998,980930,1998,12,25,9999,9999,20.2,-76,191
GEOR,AL071998,980930,1998,18,25,9999,9999,19.6,-97,178
GEOR,AL071998,981001,1998,0,25,9999,9999,19.6,-99,164
GEOR,AL071998,981001,1998,6,20,9999,9999,22.6,-98,9999
HERM,AL081998,980917,1998,12,30,0,9999,10.4,-117,9999
HERM,AL081998,980917,1998,18,30,0,9999,4.7,-106,9999
HERM,AL081998,980918,1998,0,30,0,0,11.2,-105,130
HERM,AL081998,980918,1998,6,30,0,0,14.2,-113,75
HERM,AL081998,980918,1998,12,30,5,0,12.5,-116,9999
HERM,AL081998,980918,1998,18,30,10,0,13.4,-108,9999
HERM,AL081998,980919,1998,0,30,10,0,17.1,-86,156
HERM,AL081998,980919,1998,6,30,5,0,21.0,-93,204
HERM,AL081998,980919,1998,12,35,-5,5,23.5,-88,128
HERM,AL081998,980919,1998,18,40,-20,10,19.3,-64,113
HERM,AL081998,980920,1998,0,40,9999,5,27.1,-63,181
HERM,AL081998,980920,1998,6,35,9999,-5,28.4,-77,218
HERM,AL081998,980920,1998,12,30,9999,9999,22.4,-79,177
HERM,AL081998,980920,1998,18,20,9999,9999,15.4,-72,9999
IVAN,AL091998,980919,1998,0,25,5,9999,6.1,-113,9999
IVAN,AL091998,980919,1998,6,25,5,9999,3.6,-116,9999
IVAN,AL091998,980919,1998,12,25,5,0,7.7,-115,9999
IVAN,AL091998,980919,1998,18,25,10,0,5.5,-113,9999
IVAN,AL091998,980920,1998,0,30,5,5,4.9,-107,9999
IVAN,AL091998,980920,1998,6,30,5,5,7.5,-108,-44
IVAN,AL091998,980920,1998,12,30,5,0,10.5,-95,-37
IVAN,AL091998,980920,1998,18,35,5,5,20.9,-89,-18
IVAN,AL091998,980921,1998,0,35,5,5,29.1,-86,19
IVAN,AL091998,980921,1998,6,35,10,0,29.6,-83,-21
IVAN,AL091998,980921,1998,12,35,10,0,19.5,-79,25
IVAN,AL091998,980921,1998,18,40,15,5,26.0,-69,62
IVAN,AL091998,980922,1998,0,40,10,5,23.9,-68,52
IVAN,AL091998,980922,1998,6,45,0,5,30.5,-68,131
IVAN,AL091998,980922,1998,12,45,10,5,26.1,-68,80
IVAN,AL091998,980922,1998,18,55,10,10,22.9,-58,32
IVAN,AL091998,980923,1998,0,50,15,5,27.2,-67,84
IVAN,AL091998,980923,1998,6,45,25,-10,13.8,-79,92
IVAN,AL091998,980923,1998,12,55,15,5,6.1,-73,43
IVAN,AL091998,980923,1998,18,65,5,20,5.2,-61,24
IVAN,AL091998,980924,1998,0,65,5,10,23.2,-60,52
IVAN,AL091998,980924,1998,6,70,0,5,30.0,-55,20
IVAN,AL091998,980924,1998,12,70,0,5,25.5,-52,23
IVAN,AL091998,980924,1998,18,70,5,0,26.1,-43,42
IVAN,AL091998,980925,1998,0,70,5,0,22.6,-35,87
IVAN,AL091998,980925,1998,6,70,10,0,20.7,-32,84
IVAN,AL091998,980925,1998,12,70,5,0,12.0,-26,85
IVAN,AL091998,980925,1998,18,75,0,5,10.0,-11,79
IVAN,AL091998,980926,1998,0,75,-15,5,7.8,-1,69
IVAN,AL091998,980926,1998,6,80,9999,5,8.3,13,32
IVAN,AL091998,980926,1998,12,75,9999,0,15.6,22,3
IVAN,AL091998,980926,1998,18,75,9999,-5,21.8,32,24
IVAN,AL091998,980927,1998,0,60,9999,-15,31.2,17,98
JEAN,AL101998,980921,1998,6,30,15,9999,3.4,-101,9999
JEAN,AL101998,980921,1998,12,30,25,9999,7.3,-104,9999
JEAN,AL101998,980921,1998,18,35,30,5,7.7,-102,9999
JEAN,AL101998,980922,1998,0,40,30,10,10.6,-103,9999
JEAN,AL101998,980922,1998,6,45,30,10,10.6,-102,-100
JEAN,AL101998,980922,1998,12,55,25,15,17.4,-86,-122
JEAN,AL101998,980922,1998,18,65,20,20,19.4,-73,-112
JEAN,AL101998,980923,1998,0,70,15,15,16.6,-65,9999
JEAN,AL101998,980923,1998,6,75,15,10,14.4,-55,-90
JEAN,AL101998,980923,1998,12,80,10,10,17.4,-44,-138
JEAN,AL101998,980923,1998,18,85,5,10,9.8,-36,-146
JEAN,AL101998,980924,1998,0,85,5,5,5.8,-37,-111
JEAN,AL101998,980924,1998,6,90,0,5,6.1,-32,-113
JEAN,AL101998,980924,1998,12,90,-5,5,16.8,-28,-136
JEAN,AL101998,980924,1998,18,90,-10,0,17.7,-21,-142
JEAN,AL101998,980925,1998,0,90,-15,0,21.5,-21,-97
JEAN,AL101998,980925,1998,6,90,-20,0,27.0,-25,-99
JEAN,AL101998,980925,1998,12,85,-15,-5,21.7,-28,-74
JEAN,AL101998,980925,1998,18,80,-5,-10,15.3,-36,37
JEAN,AL101998,980926,1998,0,75,0,-10,14.8,-52,40
JEAN,AL101998,980926,1998,6,70,0,-10,24.9,-56,51
JEAN,AL101998,980926,1998,12,70,0,-5,12.8,-56,71
JEAN,AL101998,980926,1998,18,75,-5,5,7.8,-49,51
JEAN,AL101998,980927,1998,0,75,-5,5,6.0,-50,-11
JEAN,AL101998,980927,1998,6,70,0,-5,8.7,-60,-21
JEAN,AL101998,980927,1998,12,70,5,-5,2.5,-63,62
JEAN,AL101998,980927,1998,18,70,10,0,1.7,-62,24
JEAN,AL101998,980928,1998,0,70,10,0,8.3,-56,17
JEAN,AL101998,980928,1998,6,70,5,0,12.2,-51,-32
JEAN,AL101998,980928,1998,12,75,-10,5,15.6,-30,-60
JEAN,AL101998,980928,1998,18,80,-20,10,19.0,-11,-87
JEAN,AL101998,980929,1998,0,80,-30,5,19.8,-4,-81
JEAN,AL101998,980929,1998,6,75,-30,-5,21.3,-6,-9
JEAN,AL101998,980929,1998,12,65,-25,-15,19.6,-15,73
JEAN,AL101998,980929,1998,18,60,-25,-15,13.6,-15,108
JEAN,AL101998,980930,1998,0,50,9999,-15,16.2,-21,145
JEAN,AL101998,980930,1998,6,45,9999,-15,23.6,-26,172
JEAN,AL101998,980930,1998,12,40,9999,-10,15.2,-30,168
JEAN,AL101998,980930,1998,18,35,9999,-10,13.9,-27,144
KARL,AL111998,980923,1998,12,25,15,9999,10.2,-75,119
KARL,AL111998,980923,1998,18,30,15,9999,6.2,-76,61
KARL,AL111998,980924,1998,0,35,15,10,6.5,-70,36
KARL,AL111998,980924,1998,6,35,20,5,13.4,-74,62
KARL,AL111998,980924,1998,12,40,25,5,15.2,-73,111
KARL,AL111998,980924,1998,18,45,25,10,12.1,-71,59
KARL,AL111998,980925,1998,0,50,25,10,12.6,-70,34
KARL,AL111998,980925,1998,6,55,20,10,11.9,-72,10
KARL,AL111998,980925,1998,12,65,10,15,11.9,-65,16
KARL,AL111998,980925,1998,18,70,10,15,9.4,-62,-54
KARL,AL111998,980926,1998,0,75,15,10,13.1,-63,-27
KARL,AL111998,980926,1998,6,75,15,5,12.6,-58,-18
KARL,AL111998,980926,1998,12,75,5,0,10.0,-57,-3
KARL,AL111998,980926,1998,18,80,-10,5,17.3,-46,-39
KARL,AL111998,980927,1998,0,90,-35,15,19.4,-18,-34
KARL,AL111998,980927,1998,6,90,9999,10,21.9,-11,-17
KARL,AL111998,980927,1998,12,80,9999,-10,29.8,-7,44
KARL,AL111998,980927,1998,18,70,9999,-20,29.9,4,127
KARL,AL111998,980928,1998,0,55,9999,-25,32.9,1,194
LISA,AL121998,981005,1998,0,30,10,9999,10.4,-117,9999
LISA,AL121998,981005,1998,6,35,10,9999,8.9,-116,9999
LISA,AL121998,981005,1998,12,35,10,5,16.7,-116,9999
LISA,AL121998,981005,1998,18,40,5,5,19.5,-109,33
LISA,AL121998,981006,1998,0,40,10,5,23.4,-106,46
LISA,AL121998,981006,1998,6,45,5,5,26.1,-105,96
LISA,AL121998,981006,1998,12,45,5,5,27.1,-107,64
LISA,AL121998,981006,1998,18,45,5,0,24.0,-103,-10
LISA,AL121998,981007,1998,0,50,5,5,25.6,-99,-4
LISA,AL121998,981007,1998,6,50,5,5,25.6,-100,64
LISA,AL121998,981007,1998,12,50,5,0,23.8,-98,37
LISA,AL121998,981007,1998,18,50,10,0,19.7,-93,27
LISA,AL121998,981008,1998,0,55,5,5,21.9,-80,-66
LISA,AL121998,981008,1998,6,55,5,5,12.2,-76,62
LISA,AL121998,981008,1998,12,55,10,0,15.9,-70,29
LISA,AL121998,981008,1998,18,60,5,5,17.9,-53,-19
LISA,AL121998,981009,1998,0,60,9999,5,23.5,-47,-53
LISA,AL121998,981009,1998,6,60,9999,0,26.7,-31,-74
LISA,AL121998,981009,1998,12,65,9999,5,34.0,9,-48
LISA,AL121998,981009,1998,18,65,9999,5,46.3,51,-34
MITC,AL131998,981022,1998,0,30,10,9999,6.9,-122,12
MITC,AL131998,981022,1998,6,30,15,9999,5.6,-124,-88
MITC,AL131998,981022,1998,12,30,15,0,3.6,-124,-139
MITC,AL131998,981022,1998,18,35,15,5,3.6,-111,-108
MITC,AL131998,981023,1998,0,40,15,10,6.4,-109,-40
MITC,AL131998,981023,1998,6,45,20,10,14.2,-106,-44
MITC,AL131998,981023,1998,12,45,30,5,15.3,-108,1
MITC,AL131998,981023,1998,18,50,40,5,10.0,-96,-45
MITC,AL131998,981024,1998,0,55,45,10,4.8,-88,-75
MITC,AL131998,981024,1998,6,65,40,15,2.7,-83,-95
MITC,AL131998,981024,1998,12,75,40,20,2.9,-75,-162
MITC,AL131998,981024,1998,18,90,35,25,4.0,-58,-178
MITC,AL131998,981025,1998,0,100,30,25,5.3,-47,-134
MITC,AL131998,981025,1998,6,105,30,15,10.3,-43,-113
MITC,AL131998,981025,1998,12,115,30,15,10.7,-32,-141
MITC,AL131998,981025,1998,18,125,30,20,15.9,-18,-154
MITC,AL131998,981026,1998,0,130,25,15,9.8,-13,-153
MITC,AL131998,981026,1998,6,135,15,10,3.0,-13,-180
MITC,AL131998,981026,1998,12,145,5,15,12.7,-4,-179
MITC,AL131998,981026,1998,18,155,-10,20,9.4,10,-167
MITC,AL131998,981027,1998,0,155,-15,10,10.3,6,-145
MITC,AL131998,981027,1998,6,150,-20,-5,7.3,-5,-155
MITC,AL131998,981027,1998,12,150,-35,-5,12.3,-7,-203
MITC,AL131998,981027,1998,18,145,-50,-5,13.5,-3,-200
MITC,AL131998,981028,1998,0,140,-55,-10,14.7,-10,-196
MITC,AL131998,981028,1998,6,130,-55,-15,18.6,-22,-152
MITC,AL131998,981028,1998,12,115,-45,-25,20.3,-39,-108
MITC,AL131998,981028,1998,18,95,-35,-35,17.3,-53,-84
MITC,AL131998,981029,1998,0,85,-30,-30,5.6,-65,-79
MITC,AL131998,981029,1998,6,75,-25,-20,11.2,-77,-64
MITC,AL131998,981029,1998,12,70,-25,-15,11.2,-83,-47
MITC,AL131998,981029,1998,18,60,-15,-15,13.8,-86,-32
MITC,AL131998,981030,1998,0,55,-10,9999,13.3,-91,-69
MITC,AL131998,981030,1998,6,50,-10,9999,7.3,-100,-29
MITC,AL131998,981030,1998,12,45,-10,9999,6.0,-104,-65
MITC,AL131998,981030,1998,18,45,-15,9999,8.0,-99,-43
MITC,AL131998,981031,1998,0,45,-15,9999,4.4,-97,-41
MITC,AL131998,981031,1998,6,40,-15,9999,5.4,-107,-65
MITC,AL131998,981031,1998,12,35,-10,9999,6.6,-118,-18
MITC,AL131998,981031,1998,18,30,-5,9999,4.6,-117,-9
MITC,AL131998,981101,1998,0,30,9999,9999,3.1,-116,-37
MITC,AL131998,981101,1998,6,25,9999,9999,2.9,-124,15
MITC,AL131998,981101,1998,12,25,9999,9999,2.5,-126,64
MITC,AL131998,981101,1998,18,25,9999,9999,2.9,-113,79
MITC,AL131998,981103,1998,18,40,0,9999,21.4,-85,-16
MITC,AL131998,981104,1998,0,35,10,9999,20.3,-94,-23
MITC,AL131998,981104,1998,6,30,20,9999,20.7,-107,22
MITC,AL131998,981104,1998,12,40,15,9999,15.8,-103,20
MITC,AL131998,981104,1998,18,40,9999,9999,27.7,-90,11
MITC,AL131998,981105,1998,0,45,9999,5,28.6,-71,2
MITC,AL131998,981105,1998,6,50,9999,10,31.7,-55,-71
MITC,AL131998,981105,1998,12,55,9999,9999,35.9,-45,25
NICO,AL141998,981124,1998,0,30,30,9999,22.0,-93,113
NICO,AL141998,981124,1998,6,35,25,9999,30.4,-90,60
NICO,AL141998,981124,1998,12,45,10,15,36.1,-79,89
NICO,AL141998,981124,1998,18,60,-10,25,45.6,-62,99
NICO,AL141998,981125,1998,0,60,-20,15,50.6,-61,121
NICO,AL141998,981125,1998,6,60,-25,0,56.0,-60,135
NICO,AL141998,981125,1998,12,55,-25,-5,62.6,-56,146
